Country,Year,VALUE
Armenia,2013,782.0
Austria,2013,3439.0
Switzerland,2013,4884.0
Chile,2013,339.0
Colombia,2013,23483.0
Cyprus,2013,26.0
Germany,2013,7030.0
Denmark,2013,1504.0
Dominican Republic,2013,30.0
Finland,2013,3995.0
United Kingdom (Scotland),2013,260.0
Guatemala,2013,3486.0
Honduras,2013,1359.0
Hungary,2013,404.0
Kenya,2013,9.0
Lithuania,2013,1724.0
Netherlands (Kingdom of the),2013,8887.0
Norway,2013,47.0
Poland,2013,11709.0
Portugal,2013,140.0
Russian Federation,2013,42506.0
Serbia,2013,2321.0
Slovakia,2013,123.0
Slovenia,2013,1996.0
Sweden,2013,2872.0
Türkiye,2013,7480.0
United States of America,2013,15700.0
Kosovo under UNSCR 1244,2013,273.0
Armenia,2014,599.0
Austria,2014,3125.0
Belgium,2014,6522.0
Bulgaria,2014,199.0
Barbados,2014,0.0
Switzerland,2014,3607.0
Chile,2014,232.0
Colombia,2014,21884.0
Costa Rica,2014,397.0
Cyprus,2014,45.0
Czechia,2014,3980.0
Germany,2014,20263.0
Denmark,2014,2576.0
Dominican Republic,2014,25.0
Finland,2014,3427.0
United Kingdom (Scotland),2014,255.0
Grenada,2014,0.0
Guatemala,2014,3762.0
Honduras,2014,1489.0
Hungary,2014,218.0
Italy,2014,3700.0
Kenya,2014,138.0
Lithuania,2014,1647.0
Luxembourg,2014,2.0
Monaco,2014,498.0
Maldives,2014,384.0
Netherlands (Kingdom of the),2014,8240.0
Norway,2014,25.0
Oman,2014,41.0
Poland,2014,9010.0
Portugal,2014,165.0
Russian Federation,2014,32203.0
Serbia,2014,1455.0
Slovakia,2014,134.0
Slovenia,2014,2474.0
Sweden,2014,2085.0
Türkiye,2014,7202.0
United States of America,2014,16200.0
Kosovo under UNSCR 1244,2014,273.0
Albania,2015,1035.0
Armenia,2015,616.0
Antigua and Barbuda,2015,5.0
Austria,2015,2677.0
Belgium,2015,6152.0
Bulgaria,2015,168.0
Bolivia (Plurinational State of),2015,1560.0
Barbados,2015,0.0
Switzerland,2015,4006.0
Chile,2015,262.0
Colombia,2015,22114.0
Costa Rica,2015,414.0
Cyprus,2015,29.0
Czechia,2015,3491.0
Germany,2015,8644.0
Denmark,2015,3722.0
Dominican Republic,2015,24.0
Ecuador,2015,957.0
Finland,2015,3391.0
United Kingdom (Scotland),2015,211.0
Grenada,2015,0.0
Guatemala,2015,5031.0
Honduras,2015,1286.0
Indonesia,2015,1780.0
Italy,2015,3583.0
Kenya,2015,79.0
Liechtenstein,2015,2.0
Lithuania,2015,1325.0
Luxembourg,2015,3.0
Monaco,2015,580.0
Maldives,2015,760.0
Malta,2015,6.0
Mongolia,2015,128.0
Netherlands (Kingdom of the),2015,7275.0
Norway,2015,49.0
Oman,2015,17.0
Poland,2015,7428.0
Portugal,2015,154.0
Romania,2015,2192.0
Russian Federation,2015,32455.0
Serbia,2015,1977.0
Slovakia,2015,130.0
Slovenia,2015,1371.0
Sweden,2015,22483.0
United States of America,2015,15900.0
Kosovo under UNSCR 1244,2015,247.0
Albania,2016,1032.0
Andorra,2016,1.0
Armenia,2016,659.0
Austria,2016,3151.0
Azerbaijan,2016,241.0
Belgium,2016,5146.0
Bulgaria,2016,223.0
Bahamas,2016,436.0
Bosnia and Herzegovina,2016,397.0
Bolivia (Plurinational State of),2016,1057.0
Barbados,2016,0.0
Switzerland,2016,3749.0
Chile,2016,313.0
Colombia,2016,23164.0
Costa Rica,2016,485.0
Cyprus,2016,41.0
Czechia,2016,2959.0
Germany,2016,6502.0
Denmark,2016,5246.0
Dominican Republic,2016,33.0
Ecuador,2016,889.0
Spain,2016,1144.0
Finland,2016,3667.0
France,2016,2007.0
United Kingdom (Scotland),2016,203.0
Guinea-Bissau,2016,36.0
Grenada,2016,0.0
Guatemala,2016,6012.0
Guyana,2016,2.0
Honduras,2016,1277.0
Croatia,2016,905.0
Hungary,2016,1165.0
Indonesia,2016,1318.0
Italy,2016,21303.0
Jamaica,2016,358.0
Kenya,2016,92.0
Saint Kitts and Nevis,2016,2.0
Lebanon,2016,41.0
Liechtenstein,2016,4.0
Lithuania,2016,761.0
Luxembourg,2016,5.0
Latvia,2016,287.0
Morocco,2016,7243.0
Monaco,2016,579.0
Maldives,2016,531.0
Mexico,2016,14260.0
Malta,2016,5.0
Montenegro,2016,80.0
Mongolia,2016,111.0
Netherlands (Kingdom of the),2016,6905.0
Norway,2016,46.0
Oman,2016,22.0
Peru,2016,551.0
Philippines,2016,36.0
Poland,2016,7092.0
Portugal,2016,152.0
Paraguay,2016,51.0
Romania,2016,1401.0
Russian Federation,2016,32924.0
Saudi Arabia,2016,3074.0
Senegal,2016,46.0
Singapore,2016,1674.0
El Salvador,2016,91.0
Serbia,2016,1348.0
Slovakia,2016,105.0
Slovenia,2016,1159.0
Sweden,2016,21037.0
Thailand,2016,26.0
Uganda,2016,194.0
United States of America,2016,15900.0
Kosovo under UNSCR 1244,2016,260.0
Albania,2017,1154.0
Andorra,2017,0.0
Armenia,2017,634.0
Austria,2017,3209.0
Azerbaijan,2017,195.0
Belgium,2017,4596.0
Bulgaria,2017,233.0
Bahamas,2017,306.0
Bosnia and Herzegovina,2017,383.0
Bolivia (Plurinational State of),2017,669.0
Barbados,2017,1.0
Bhutan,2017,4.0
Switzerland,2017,3389.0
Chile,2017,385.0
Colombia,2017,15167.0
Costa Rica,2017,2825.0
Cyprus,2017,31.0
Czechia,2017,2723.0
Germany,2017,3850.0
Denmark,2017,3717.0
Ecuador,2017,828.0
Spain,2017,1127.0
Estonia,2017,291.0
Finland,2017,3565.0
France,2017,1966.0
United Kingdom (Scotland),2017,188.0
Greece,2017,902.0
Grenada,2017,0.0
Guatemala,2017,5905.0
Guyana,2017,2.0
Honduras,2017,2221.0
Croatia,2017,761.0
Hungary,2017,1281.0
Indonesia,2017,505.0
Ireland,2017,4.0
Italy,2017,3572.0
Jamaica,2017,393.0
Kazakhstan,2017,2452.0
Kenya,2017,75.0
Saint Kitts and Nevis,2017,2.0
Liechtenstein,2017,6.0
Lithuania,2017,749.0
Luxembourg,2017,1.0
Latvia,2017,185.0
Morocco,2017,19145.0
Republic of Moldova,2017,1163.0
Maldives,2017,541.0
Mexico,2017,19076.0
Malta,2017,3.0
Montenegro,2017,76.0
Mongolia,2017,150.0
Netherlands (Kingdom of the),2017,6740.0
Norway,2017,82.0
Oman,2017,26.0
Panama,2017,283.0
Peru,2017,568.0
Philippines,2017,48.0
Poland,2017,7417.0
Portugal,2017,176.0
Paraguay,2017,28.0
State of Palestine,2017,906.0
Romania,2017,5435.0
Russian Federation,2017,29634.0
Saudi Arabia,2017,4379.0
Singapore,2017,1247.0
El Salvador,2017,39.0
Serbia,2017,1500.0
Slovakia,2017,167.0
Slovenia,2017,971.0
Sweden,2017,21095.0
Uganda,2017,556.0
Ukraine,2017,1170.0
United States of America,2017,15967.0
Albania,2018,1033.0
Andorra,2018,0.0
Armenia,2018,1353.0
Austria,2018,3113.0
Azerbaijan,2018,356.0
Belgium,2018,4729.0
Bulgaria,2018,673.0
Bahamas,2018,679.0
Bosnia and Herzegovina,2018,430.0
Bolivia (Plurinational State of),2018,707.0
Barbados,2018,1.0
Bhutan,2018,5.0
Switzerland,2018,19.0
Chile,2018,2786.0
Cameroon,2018,187.0
Colombia,2018,11142.0
Costa Rica,2018,2729.0
Cyprus,2018,17.0
Czechia,2018,2596.0
Germany,2018,3970.0
Djibouti,2018,115.0
Dominica,2018,29.0
Denmark,2018,4833.0
Algeria,2018,1124.0
Ecuador,2018,1122.0
Spain,2018,976.0
Estonia,2018,376.0
Finland,2018,3846.0
France,2018,2356.0
United Kingdom (Scotland),2018,188.0
Greece,2018,658.0
Grenada,2018,0.0
Guatemala,2018,5316.0
Guyana,2018,0.0
Honduras,2018,387.0
Croatia,2018,515.0
Hungary,2018,2238.0
Indonesia,2018,496.0
Ireland,2018,6.0
Italy,2018,3367.0
Jamaica,2018,220.0
Jordan,2018,163.0
Kenya,2018,119.0
Saint Kitts and Nevis,2018,1.0
Saint Lucia,2018,1.0
Liechtenstein,2018,14.0
