Iso3_code,Country,Region,Category,Sex,Year,VALUE
ITA,Italy,Europe,Total,Total,2021,782
AFG,Afghanistan,Asia,Total,Female,2012,3439
AFG,Afghanistan,Asia,Total,Male,2012,4884
AFG,Afghanistan,Asia,Total,Total,2012,339
ALB,Albania,Europe,Corruption,Total,2015,23483
ALB,Albania,Europe,Corruption,Total,2016,26
ALB,Albania,Europe,Corruption,Total,2017,7030
ALB,Albania,Europe,Corruption,Total,2018,1504
ALB,Albania,Europe,Corruption,Total,2019,30
ALB,Albania,Europe,Corruption,Total,2020,3995
ALB,Albania,Europe,Corruption,Total,2021,260
ALB,Albania,Europe,Corruption,Total,2022,3486
ALB,Albania,Europe,Corruption,Total,2023,1359
ALB,Albania,Europe,Corruption: Bribery,Total,2015,404
ALB,Albania,Europe,Corruption: Bribery,Total,2016,9
ALB,Albania,Europe,Corruption: Bribery,Total,2017,1724
ALB,Albania,Europe,Corruption: Bribery,Total,2018,8887
ALB,Albania,Europe,Corruption: Bribery,Total,2019,47
ALB,Albania,Europe,Corruption: Bribery,Total,2020,11709
ALB,Albania,Europe,Corruption: Bribery,Total,2021,140
ALB,Albania,Europe,Corruption: Bribery,Total,2022,42506
ALB,Albania,Europe,Corruption: Bribery,Total,2023,2321
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2015,123
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2016,1996
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2017,2872
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2018,7480
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2019,15700
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2020,273
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2021,599
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2022,3125
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2023,6522
ALB,Albania,Europe,Smuggling of migrants,Total,2016,199
ALB,Albania,Europe,Smuggling of migrants,Total,2017,0
ALB,Albania,Europe,Smuggling of migrants,Total,2018,3607
ALB,Albania,Europe,Smuggling of migrants,Total,2019,232
ALB,Albania,Europe,Smuggling of migrants,Total,2020,21884
ALB,Albania,Europe,Smuggling of migrants,Total,2021,397
ALB,Albania,Europe,Smuggling of migrants,Total,2022,45
ALB,Albania,Europe,Smuggling of migrants,Total,2023,3980
ALB,Albania,Europe,Burglary,Total,2005,20263
ALB,Albania,Europe,Burglary,Total,2006,2576
ALB,Albania,Europe,Burglary,Total,2007,25
ALB,Albania,Europe,Burglary,Total,2008,3427
ALB,Albania,Europe,Burglary,Total,2009,255
ALB,Albania,Europe,Burglary,Total,2010,0
ALB,Albania,Europe,Burglary,Total,2011,3762
ALB,Albania,Europe,Burglary,Total,2012,1489
ALB,Albania,Europe,Burglary,Total,2013,218
ALB,Albania,Europe,Burglary,Total,2014,3700
ALB,Albania,Europe,Burglary,Total,2015,138
ALB,Albania,Europe,Burglary,Total,2021,1647
ALB,Albania,Europe,Burglary,Total,2022,2
ALB,Albania,Europe,Theft,Total,2005,498
ALB,Albania,Europe,Theft,Total,2006,384
ALB,Albania,Europe,Theft,Total,2007,8240
ALB,Albania,Europe,Theft,Total,2008,25
ALB,Albania,Europe,Theft,Total,2009,41
ALB,Albania,Europe,Theft,Total,2010,9010
ALB,Albania,Europe,Theft,Total,2011,165
ALB,Albania,Europe,Theft,Total,2012,32203
ALB,Albania,Europe,Theft,Total,2013,1455
ALB,Albania,Europe,Theft,Total,2014,134
ALB,Albania,Europe,Theft,Total,2015,2474
ALB,Albania,Europe,Theft,Total,2016,2085
ALB,Albania,Europe,Theft,Total,2017,7202
ALB,Albania,Europe,Theft,Total,2018,16200
ALB,Albania,Europe,Theft,Total,2019,273
ALB,Albania,Europe,Theft,Total,2020,1035
ALB,Albania,Europe,Theft,Total,2021,616
ALB,Albania,Europe,Theft,Total,2022,5
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2005,2677
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2006,6152
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2007,168
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2008,1560
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2009,0
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2010,4006
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2011,262
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2012,22114
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2013,414
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2014,29
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2015,3491
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2016,8644
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2017,3722
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2018,24
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2019,957
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2020,3391
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2021,211
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2022,0
ALB,Albania,Europe,Fraud,Total,2015,5031
ALB,Albania,Europe,Fraud,Total,2016,1286
ALB,Albania,Europe,Fraud,Total,2017,1780
ALB,Albania,Europe,Fraud,Total,2018,3583
ALB,Albania,Europe,Fraud,Total,2019,79
ALB,Albania,Europe,Fraud,Total,2020,2
ALB,Albania,Europe,Fraud,Total,2021,1325
ALB,Albania,Europe,Fraud,Total,2022,3
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2015,580
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2016,760
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2017,6
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2018,128
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2019,7275
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2020,49
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2021,17
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2022,7428
ALB,Albania,Europe,Money laundering,Total,2015,154
ALB,Albania,Europe,Money laundering,Total,2016,2192
ALB,Albania,Europe,Money laundering,Total,2017,32455
ALB,Albania,Europe,Money laundering,Total,2018,1977
ALB,Albania,Europe,Money laundering,Total,2019,130
ALB,Albania,Europe,Money laundering,Total,2020,1371
ALB,Albania,Europe,Money laundering,Total,2021,22483
ALB,Albania,Europe,Money laundering,Total,2022,15900
ALB,Albania,Europe,Unlawful access to a computer system,Total,2015,247
ALB,Albania,Europe,Unlawful access to a computer system,Total,2016,1032
ALB,Albania,Europe,Unlawful access to a computer system,Total,2017,1
ALB,Albania,Europe,Unlawful access to a computer system,Total,2018,659
ALB,Albania,Europe,Unlawful access to a computer system,Total,2019,3151
ALB,Albania,Europe,Unlawful access to a computer system,Total,2020,241
ALB,Albania,Europe,Unlawful access to a computer system,Total,2021,5146
ALB,Albania,Europe,Unlawful access to a computer system,Total,2022,223
ALB,Albania,Europe,Unlawful access to a computer system,Total,2023,436
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2015,397
