Country,Year,corruption_and_economic_crime,intentional_homicide,violent_and_sexual_crime,firearms_trafficking,access_and_functioning_of_justice
Afghanistan,2019,13580.769366292152,739.6085541581144,21190.71701618634,30723.559770108062,4278.322305707331
Afghanistan,2020,64001.88687897766,1288.289054469532,31033.26310109863,20380.454816618876,1286.3054189390223
Afghanistan,2021,27299.086299891704,808.5162292328389,31397.11934465731,19941.067903331106,8946.569034456887
Albania,2019,2063.4,16.029327856175872,92.43636363636364,2847.429514733065,75.72432006939665
Albania,2020,3254.0625,11.886892297831016,1077.0188679245282,2709.9949806845366,68.23341112808755
Albania,2021,2757.235294117647,14.905221341374464,21576.987127648314,2887.8543840259194,77.8906886073675
Albania,2022,5210.323529411765,8.35777599005783,971.9444444444443,2585.4485776584347,62.34379891817698
Albania,2023,1777.590909090909,7.044042309550433,646.7966101694915,774.9699482900778,53.33166142360994
Albania,2024,29460.277916778177,11.153846153846152,60886.657414062676,27565.76204083403,3731.5316634023934
Algeria,2019,21348.11111111111,47.6934619395992,857.1395357522888,5772.146829832429,796.6214783431217
Algeria,2020,74319.94444444444,65.4844189051045,23612.41314984616,5639.389730499407,855.3663281336937
Algeria,2021,5934.055555555556,69.42045019248957,88278.99621341983,6636.268469505437,1065.518006281047
Algeria,2022,1248.8333333333333,63.904045124450604,2614.3658536585367,3866.399819963464,1790.5953588944092
Algeria,2023,36916.375,51.54395638559678,4730.4358974358975,5049.280674908995,4488.368264058939
American Samoa,2019,1.0,1.0,1.0,1.0,1.0
Andorra,2019,2076.625,681.3247882083331,5.022222222222222,241.01393598779268,61.44098200683899
Andorra,2020,29966.28848098693,2.9156484185254774,5.255813953488372,248.24288504063625,727.8403180389205
Andorra,2021,484.6557106971777,784.8093622508654,0.2985074626865671,12301.82842752255,10750.307265746349
Andorra,2022,65922.61164153207,25.15376660920981,41.578947368421055,18192.626499456826,4798.291112240432
Andorra,2023,29817.675206232274,480.23684776056973,0.9701492537313432,2324.547488830849,2836.433766670295
Antigua and Barbuda,2019,472.625,0.9947261680615744,5.5,152.98166235821313,27.973910427336182
Antigua and Barbuda,2020,369.0,3.656700340540272,63573.1380032561,201.687097683928,22.71608901445807
Antigua and Barbuda,2021,1834.5,3.8432435572436336,42074.36463442567,16.52763050918732,24.45850295665632
Antigua and Barbuda,2022,585.95,1.9556117012477667,28565.88107082902,122.48343979344372,31.766521849542865
Antigua and Barbuda,2023,311.0,2.181914269357418,39719.686529430954,11.452195727243511,34.18194994400713
Argentina,2019,507.25,149.4437891244384,24546.376269639597,6943.044874198012,18699.386462723225
Argentina,2020,2458.5,161.95820825179263,2194.6666666666665,6003.3716120088,19152.68716368371
Argentina,2021,3286.5,154.33082509291822,8531.875,5670.652498941607,23546.149739678192
Argentina,2022,1325.75,143.24681195659724,9822.190476190475,6112.16336938568,24855.11714330616
Argentina,2023,805.0,241.4930305335792,10372.54961073746,4482.88416843755,24635.780375815128
Armenia,2019,1104.875,13.123353209325966,160.33333333333334,18505.48753121943,39.73956762029747
Armenia,2020,5911.928571428572,7.204593623443476,70.28571428571429,408.483384726274,35.520971176433115
Armenia,2021,1011.7857142857144,17.60992235578065,61058.23381305981,381.7843727606663,35.270761735610385
Armenia,2022,903.3571428571428,22.58280881754734,13645.217840380421,258.6653926591562,40.72329549090538
Armenia,2023,2216.1428571428573,18.4600853302185,1305.04,277.88196512314954,51.55100918274542
Australia,2019,206.75,14.775686258469287,11999.333333333334,91423.32952388914,9219.754344871528
Australia,2020,48.375,15.227254085777846,6974.627318792038,39517.557503662094,9315.277335574296
Australia,2021,179.0,13.21868827738574,72729.25435176976,40262.25661860652,9994.35861285924
Australia,2022,505.625,14.36371454662512,13844.903225573471,38893.84140341792,10164.542327401372
Australia,2023,31597.622414573194,39.58003793358649,51234.85740963735,12288.006380550947,15099.118093771744
Australia,2024,18229.39475546309,2.0,84748.63602167643,8126.507110600272,3960.2169478999804
Austria,2019,1551.5882352941176,6.877736197956654,5409.471501392789,24769.266678882384,532.3397955694912
Austria,2020,1430.5588235294117,5.529638147296898,43339.02962737746,20394.443077711883,500.3543510115975
Austria,2021,792.8,5.203383848153109,5754.622584730823,19283.76859082232,523.3735154479879
Austria,2022,1171.735294117647,6.322418834741505,67662.53553630061,19786.50470822832,588.6764862441596
Austria,2023,1328.090909090909,7.962912991227086,2071.8251089632613,6269.912895702434,1147.2063041676963
Azerbaijan,2019,2806.25,25.31801896558264,908.686274509804,1413.58716734696,37.17943778048591
